time,mote_id,node,message_type,message,tx,rx,size
2.766018,21,,mac_reception,,,,
2.769375,20,,mac_reception,,,,
2.776013,7,,mac_reception,,,,
2.776032,9,,mac_reception,,,,
2.795972,3,,mac_reception,,,,
2.79598,11,,mac_reception,,,,
2.799529,,20,energy,,0.0,0.030517,
2.799529,,13,energy,,0.086075,0.022112,
2.799529,,9,energy,,0.0,0.02764,
2.799529,,15,energy,,0.086082,0.024041,
2.799529,,4,energy,,0.0,0.026047,
2.799529,,3,energy,,0.044145,0.07809,
2.799529,,21,energy,,0.0,0.031327,
2.799529,,5,energy,,0.0,0.02428,
2.799529,,10,energy,,0.0,0.026503,
2.799529,,17,energy,,0.08607,0.026327,
2.799529,,16,energy,,0.086076,0.022156,
2.799529,,7,energy,,0.086078,0.029285,
2.799529,,6,energy,,0.086075,0.028759,
2.799529,,14,energy,,0.086071,0.019861,
2.799529,,1,energy,,0.0,0.918153,
2.799529,,18,energy,,0.086078,0.022072,
