frame.time_relative,frame.len,wpan.src64,wpan.dst64,icmpv6.type,ipv6.src,ipv6.dst,icmpv6.code,data.data
32.124000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
32.125000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
32.179000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
32.187000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
32.193000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
32.194000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
32.196000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
32.206000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
32.210000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
32.212000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
32.219000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
32.221000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
32.222000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
33.193000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
33.212000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
33.213000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
33.215000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
33.216000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
33.216000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
33.217000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
33.263000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
33.264000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
33.265000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
33.266000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
33.268000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
34.206000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
34.234000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
34.259000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
34.260000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
34.261000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
34.289000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
34.290000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
34.291000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
34.291000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
36.095000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
36.096000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
36.097000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
36.114000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
36.116000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
36.117000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
36.120000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
36.121000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
36.125000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
36.129000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
36.988000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
36.992000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
37.031000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
37.043000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
37.049000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
37.054000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
37.055000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
37.063000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
37.065000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
38.118000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
38.120000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
38.164000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
39.139000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
39.140000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
39.987000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
39.988000000,64,00:00:00:00:00:00:00:0d,,155,fe80::200:0:0:d,ff02::1a,0,
39.989000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
39.990000000,64,00:00:00:00:00:00:00:0d,,155,fe80::200:0:0:d,ff02::1a,0,
39.993000000,64,00:00:00:00:00:00:00:14,,155,fe80::200:0:0:14,ff02::1a,0,
39.998000000,64,00:00:00:00:00:00:00:0d,,155,fe80::200:0:0:d,ff02::1a,0,
